time,halfW01,d0,d1,d2,d3
2.965,0.7956,0,1,1,0
0.333,0.8088,1,3,3,1
0.365,0.8104,1,3,3,1
0.400,0.8121,1,3,3,1
0.434,0.8129,1,3,3,1
0.467,0.8146,1,3,3,1
0.501,0.8162,1,3,3,1
0.533,0.8170,1,3,3,1
0.567,0.8187,1,3,3,1
0.601,0.8203,1,3,3,1
0.633,0.8211,1,3,4,1
0.667,0.8228,1,3,4,1
0.700,0.8244,1,3,4,1
0.734,0.8252,1,3,4,1
0.766,0.8268,1,3,4,1
0.799,0.8284,1,3,4,1
0.833,0.8292,1,3,4,1
0.866,0.8308,1,3,4,1
0.899,0.8323,1,3,4,1
0.933,0.8331,1,3,4,1
0.966,0.8347,1,3,4,1
1.002,0.8362,1,3,4,1
1.033,0.8370,1,3,4,1
1.067,0.8385,1,3,4,1
1.100,0.8400,1,3,4,1
1.133,0.8407,1,3,4,1
1.166,0.8422,1,3,4,1
1.200,0.8436,1,3,4,1
1.233,0.8444,1,3,4,1
1.267,0.8458,1,3,4,1
1.301,0.8472,1,3,4,1
1.333,0.8479,1,3,4,1
1.367,0.8492,1,3,4,1
1.401,0.8506,1,3,4,1
1.433,0.8512,1,3,4,1
1.466,0.8525,1,3,4,1
1.501,0.8538,1,3,4,1
1.533,0.8544,1,3,4,1
1.567,0.8557,1,3,4,1
1.600,0.8569,1,3,4,1
1.633,0.8575,1,3,4,1
1.667,0.8587,0,0,0,0
1.700,0.8598,0,0,0,0
1.733,0.8604,0,0,0,0
1.767,0.8615,0,0,0,0
1.801,0.8626,0,0,0,0
1.833,0.8632,0,0,0,0
1.867,0.8642,0,0,0,0
1.901,0.8653,0,0,0,0
1.933,0.8658,0,0,0,0
1.970,0.8668,0,0,0,0
2.001,0.8677,0,0,0,0
2.034,0.8682,0,0,0,0
2.067,0.8691,0,0,0,0
2.100,0.8700,0,0,0,0
2.133,0.8705,0,0,0,0
2.167,0.8714,0,0,0,0
2.200,0.8722,0,0,0,0
2.234,0.8726,0,0,0,0
2.267,0.8735,0,0,0,0
2.301,0.8742,0,0,0,0
2.334,0.8746,0,0,0,0
2.367,0.8754,0,0,0,0
2.401,0.8761,0,0,0,0
2.434,0.8765,0,0,0,0
2.467,0.8772,0,0,0,0
2.499,0.8779,0,0,0,0
2.533,0.8782,0,0,0,0
2.566,0.8789,0,0,0,0
2.601,0.8795,0,0,0,0
2.634,0.8798,0,0,0,0
2.667,0.8804,0,0,0,0
2.701,0.8810,0,0,0,0
2.734,0.8813,0,0,0,0
2.767,0.8819,0,0,0,0
2.800,0.8824,0,0,0,0
2.834,0.8826,0,0,0,0
2.867,0.8832,0,0,0,0
2.900,0.8836,0,0,0,0
2.933,0.8839,0,0,0,0
2.967,0.8843,0,0,0,0
3.000,0.8848,0,0,0,0
3.033,0.8850,0,0,0,0
3.066,0.8854,0,0,0,0
3.099,0.8858,0,0,0,0
3.134,0.8860,0,0,0,0
3.167,0.8863,0,0,0,0
3.201,0.8867,0,0,0,0
3.233,0.8869,0,0,0,0
3.266,0.8872,0,0,0,0
3.299,0.8875,0,0,0,0
3.334,0.8876,0,0,0,0
3.367,0.8879,0,0,0,0
3.400,0.8882,0,0,0,0
3.434,0.8883,0,0,0,0
3.467,0.8885,0,0,0,0
3.501,0.8888,0,0,0,0
3.534,0.8889,0,0,0,0
3.567,0.8891,0,0,0,0
3.601,0.8892,0,0,0,0
3.634,0.8893,0,0,0,0
3.667,0.8895,0,0,0,0
3.699,0.8896,0,0,0,0
3.734,0.8897,0,0,0,0
3.766,0.8898,0,0,0,0
3.800,0.8899,0,0,0,0
3.833,0.8899,0,0,0,0
3.866,0.8900,0,0,0,0
3.900,0.8900,0,0,0,0
3.933,0.8901,0,0,0,0
3.966,0.8901,0,0,0,0
4.000,0.8901,0,0,0,0
4.033,0.8901,0,0,0,0
4.066,0.8901,0,0,0,0
4.100,0.8901,0,0,0,0
4.133,0.8901,0,0,0,0
4.166,0.8900,0,0,0,0
4.200,0.8900,0,0,0,0
4.233,0.8899,0,0,0,0
4.268,0.8898,0,0,0,0
4.300,0.8897,0,0,0,0
4.334,0.8897,0,0,0,0
4.366,0.8895,0,0,0,0
4.400,0.8894,0,0,0,0
4.433,0.8893,0,0,0,0
4.467,0.8892,0,0,0,0
4.501,0.8890,0,0,0,0
4.534,0.8889,0,0,0,0
4.567,0.8887,0,0,0,0
4.600,0.8885,0,0,0,0
4.633,0.8884,0,0,0,0
4.666,0.8881,0,0,0,0
4.699,0.8879,0,0,0,0
4.733,0.8877,0,0,0,0
4.768,0.8875,0,0,0,0
4.799,0.8872,0,0,0,0
4.834,0.8870,0,0,0,0
4.867,0.8867,0,0,0,0
4.899,0.8864,0,0,0,0
4.933,0.8863,0,0,0,0
4.966,0.8859,0,0,0,0
5.000,0.8856,0,0,0,0
5.033,0.8854,0,0,0,0
5.066,0.8850,0,0,0,0
5.100,0.8847,0,0,0,0
5.134,0.8845,0,0,0,0
5.167,0.8841,0,0,0,0
5.202,0.8837,0,0,0,0
5.234,0.8835,0,0,0,0
5.267,0.8830,0,0,0,0
5.301,0.8826,0,0,0,0
5.334,0.8824,0,0,0,0
5.367,0.8820,0,0,0,0
5.400,0.8816,0,0,0,0
5.433,0.8814,0,0,0,0
5.467,0.8810,0,0,0,0
5.500,0.8806,0,0,0,0
5.533,0.8804,0,0,0,0
5.567,0.8799,0,0,0,0
5.599,0.8795,0,0,0,0
5.634,0.8793,0,0,0,0
5.667,0.8788,0,0,0,0
5.701,0.8784,0,0,0,0
5.733,0.8782,0,0,0,0
5.766,0.8777,0,0,0,0
5.799,0.8772,0,0,0,0
5.833,0.8770,0,0,0,0
5.866,0.8765,0,0,0,0
5.899,0.8760,0,0,0,0
5.933,0.8758,0,0,0,0
5.966,0.8753,0,0,0,0
6.000,0.8748,0,0,0,0
6.033,0.8745,0,0,0,0
6.066,0.8740,0,0,0,0
6.100,0.8735,0,0,0,0
6.133,0.8733,0,0,0,0
6.170,0.8728,0,0,0,0
6.201,0.8723,0,0,0,0
6.234,0.8720,0,0,0,0
6.267,0.8716,0,0,0,0
6.300,0.8711,0,0,0,0
6.334,0.8709,0,0,0,0
6.367,0.8705,0,0,0,0
6.399,0.8702,0,0,0,0
6.434,0.8700,0,0,0,0
6.467,0.8697,0,0,0,0
6.500,0.8695,0,0,0,0
6.534,0.8695,0,0,0,0
6.567,0.8696,0,0,0,0
6.599,0.8698,0,0,0,0
6.634,0.8701,0,0,0,0
6.666,0.8708,0,0,0,0
6.699,0.8719,0,0,0,0
6.734,0.8726,0,0,0,0
6.767,0.8742,0,0,0,0
6.801,0.8762,0,0,0,0
